regime,level,accuracy,mean_confidence,ece,gap_conf_minus_acc,high_conf_error_rate,n_errors
asr_swap,0.0,0.9886,0.9506,0.038,-0.038,0.0,6
asr_swap,0.15,0.9811,0.9134,0.0677,-0.0677,0.1,10
asr_swap,0.3,0.9678,0.8875,0.0843,-0.0803,0.1176,17
asr_swap,0.45,0.9564,0.8477,0.1087,-0.1087,0.1739,23
asr_swap,0.6,0.9451,0.7961,0.149,-0.149,0.1379,29
asr_swap,0.75,0.9261,0.7535,0.1726,-0.1726,0.1538,39
cue_inject,0.0,0.9886,0.9506,0.038,-0.038,0.0,6
cue_inject,0.15,0.9697,0.8829,0.0868,-0.0868,0.0625,16
cue_inject,0.3,0.8333,0.8174,0.0378,-0.016,0.2273,88
cue_inject,0.45,0.7746,0.7873,0.0297,0.0127,0.2437,119
cue_inject,0.6,0.5511,0.751,0.2158,0.1999,0.4262,237
cue_inject,0.75,0.4811,0.727,0.2582,0.2459,0.4051,274
prior_shift,0.0,0.9886,0.9506,0.038,-0.038,0.0,6
prior_shift,0.15,0.9792,0.9157,0.0634,-0.0634,0.0,11
prior_shift,0.3,0.9583,0.8866,0.0717,-0.0717,0.2273,22
prior_shift,0.45,0.9527,0.8808,0.0719,-0.0719,0.16,25
prior_shift,0.6,0.839,0.8067,0.0344,-0.0323,0.2118,85
prior_shift,0.75,0.8542,0.8112,0.043,-0.043,0.2208,77
